id,name,artist,album,popularity,duration_ms,release_date,mood,search_query
4JwReuZYVaDOY8jT7BjQp2,chess,joyful,chess,67,116000,2025-01-14,Happy,joyful
3nXAoSKGYp6A8XMeM03BtK,Joyful,Riccardo Pietri,Joyful,39,124525,2024-02-16,Happy,joyful
0y5Wy21NXpm806MDECiLoW,"Joy to the World (Joyful, Joyful)",Phil Wickham,Christmas,38,259327,2019-10-04,Happy,joyful
5r43qanLhUCdBj8HN3fa6B,Sunshine,OneRepublic,Sunshine,71,163854,2021-11-10,Happy,sunshine
1w6XiTEJCIILDTV2wyP6fT,Give Me Some Sunshine,Suraj Jagan,3 Idiots (Original Motion Picture Soundtrack),58,247346,2009-12-25,Happy,sunshine
4cNpO3kF8rqcH8G3huFCJp,you are my sunshine,Christina Perri,songs for carmella: lullabies & sing-a-longs,75,82200,2019-01-17,Happy,sunshine
7qKIbKpRqsDoXG5vMK6fuT,Sunshine,OneRepublic,Artificial Paradise (Deluxe),70,163854,2024-07-12,Happy,sunshine
4hjuUelurEBKlqpJPJ77Iw,Pocketful of Sunshine,Natasha Bedingfield,Strip Me Away,66,203440,2008,Happy,sunshine
0C8gXIhQKwjF60aEZQPj5a,Sunshine,Amrit Maan,Sunshine,38,223170,2023-12-08,Happy,sunshine
0akjBaE3BeOl0BwXnaVN4y,Chai and Sunshine,Anjulie,Chai and Sunshine,54,145263,2024-07-01,Happy,sunshine
2AFg8N5qW7FxgUAwZJ1Zz6,Sunsets with You,Prem Dhillon,Archives,47,171019,2022-12-09,Happy,sunshine
14Q7Qja4PJwjMsKdBZcnww,Sunshine (feat. Fousheé),Steve Lacy,Gemini Rights,65,293428,2022-07-14,Happy,sunshine
6cXFSFYIzzTPDta21BD8hP,Sundari Laila,Sreehari K,Abhilasham (Original Motion Picture Soundtrack),50,80984,2025-04-02,Happy,sunshine
6JLbMP9MeGB7Odhw8PO1QB,Sad Gaana,Bali,Kala Khatta,66,149696,2025-04-23,Sad,sad
1tEto4JrqNmBZFH5uAiYqb,Sadi Gali,Lehmber Hussainpuri,Tanu Weds Manu,62,264900,2011-02-02,Sad,sad
0aVpOPirZUdeJon1ikS9M5,Mohabat,Sucha Yaar,Mohabat,56,216000,2021-04-26,Sad,sad
2CoWmo3eVb0QCyikAvWmc0,Sadiyan - I-Popstar: Vol. 1,Abhijay Sharma,I-Popstar: Vol. 1 | Episodes 4&5,57,209800,2025-10-24,Sad,sad
5ULIvl0zduD2l9g6hdXnDo,Ehsaas,Sheera Jasvir,Ehsaas,58,306500,2012-01-28,Sad,sad
0JChw6k59cZxegh0SGceE1,Zaroori Tha,Rahat Fateh Ali Khan,Back 2 Love,66,342023,2014-05-07,Sad,sad
4KPyLpz5P6yyZTiiN4Bv9L,Sadiya Kariya,Ankush Raja,Sadiya Kariya,64,173658,2024-12-06,Sad,sad
1ocsN0Gh93gMgI3K0dumQ4,Saada Aura,Dulla,Entry Time,62,200993,2025-07-16,Sad,sad
12TxeF1dTrc2bxQcEl9NyA,Aadat,Ninja,Aadat,62,247954,2015-07-22,Sad,sad
4KOxInngzPVaH53HDSJ9A9,Sadiya,Pawan Singh,Sadiya,61,184305,2024-08-11,Sad,sad
0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,Plastic Beach,84,233866,2010-03-03,Sad,melancholy
0ZRTBsgVroKktG2qJoIzoo,Late Night Melancholy,Rude Boy,Late Night Melancholy,52,258639,2020-06-11,Sad,melancholy
7FtaJPZsSQxED0jKkSn2se,Melancholy,Xvir Grewal,Melancholy,17,159130,2023-03-20,Sad,melancholy
1fcXn2WjZlTcuy228dUPVJ,Melancholy,Gustixa,The Fellings I Couldn't Tell,48,184296,2021-12-06,Sad,melancholy
3DFhB4Sdjin9tPxPYf11Fh,Melancholy,White Cherry,Melancholy,40,128287,2018-04-02,Sad,melancholy
3gl0lmo53rhEQRP4CN7zqq,Melancholy,Sabbir H. Howlader,Melancholy,11,41424,2024-05-13,Sad,melancholy
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd,"My Dear Melancholy,",83,241066,2018-03-30,Sad,melancholy
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,"My Dear Melancholy,",85,228373,2018-03-30,Sad,melancholy
2BSEdd66Ztu7kJ2AZWFwZC,Melancholy of Love,Ilaiyaraaja,A Beautiful Breakup (Original Background Score),14,227985,2025-08-28,Sad,melancholy
0ePPeJPoA8m13fqK6XABra,Melancholic Ride,D. Imman,Saravanan Irukka Bayamaen (Original Motion Picture Soundtrack),12,151643,2017-03-28,Sad,melancholy
7iW9pTNgp2HtlRJinoYuiA,Emosanal Attyachaar (Brass Band Version),Band Master Rangeela,Dev D,43,238004,2009-01-02,Sad,emotional
789ypzLVZugyrUn57A6CWp,Emotional Attyachaar (Rock Version),Bonnie Chakraborty,Dev D,36,239537,2009-01-02,Sad,emotional
6iMgrj9v5byFgbl9pyinpF,Emotional Saiyaan,Arindom,Shudhu Tomari Jonyo (Original Motion Picture Soundtrack),46,229511,2015-09-13,Sad,emotional
60zYaTS7Gxzdizf7LBYyug,Emotional Banda,Ranjit Bawa,Emotional Banda,35,234782,2022-09-24,Sad,emotional
3THqU6OPi09WBYeP8hucTG,Emotional Fool,Shaarib Toshi,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),30,216103,2014-06-19,Sad,emotional
7KqZmrAstKqA7JOwRgZer2,Shudhu Tomari Jonyo Theme,Arijit Singh,Shudhu Tomari Jonyo (Original Motion Picture Soundtrack),42,197532,2015-09-13,Sad,emotional
06spmUXkspI9nkxzAnHs8h,Doraemon Emotional (Hindi Rap),DA REAL INSANE,Doraemon Emotional (Hindi Rap),39,160937,2023-09-03,Sad,emotional
2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Forever With Arijit Singh,70,341054,2017-06-07,Sad,emotional
43YkTTlOD203o9E5ZxhUjF,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",Arijit Singh,Arijit Singh Broken Strings,67,262986,2019-04-24,Sad,emotional
2QfznFotJNZmnIEYFdzE5T,Heartbreak Anniversary,GIVĒON,Heartbreak Anniversary,70,196794,2020-02-21,Sad,heartbreak
4WzO8fPITMILrfYqvKaoxb,Heartbreak Kid,Toru,HiToru,17,132250,2022-09-07,Sad,heartbreak
4gs07VlJST4bdxGbBsXVue,Heartbreak Warfare,John Mayer,Battle Studies,63,269720,2009-11-13,Sad,heartbreak
2GCKWEsbb0Xo1oodTOKVi1,Heartbreaker,Justin Bieber,Journals,68,262840,2014-05-13,Sad,heartbreak
5IaXG208CIPBuP6YJ0LrZp,Departure Lane Talha Anjum,Axur Lofiz,Departure Lane Talha Anjum,46,151392,2025-09-23,Sad,heartbreak
2ZKm0cv6n9G0u0mNNadw8V,Heartbreak Melody,Alan Walker,Heartbreak Melody,68,191830,2025-07-18,Sad,heartbreak
27tDoZsybt3KvJWTDoW9id,Heartbreak Anniversary,GIVĒON,When It's All Said And Done... Take Time,59,198370,2021-03-12,Sad,heartbreak
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,GIVĒON,TAKE TIME,78,198370,2020-03-27,Sad,heartbreak
4HkHHWi2C1v98N1yCta1cX,Heartbroken,ACE,Heartbroken,36,200855,2024-10-04,Sad,heartbreak
1UZ1VA6CsBBWnFvaI7lJDV,The Heartbreak Chhora,Ayushmann Khurrana,The Heartbreak Chhora,33,174142,2025-03-07,Sad,heartbreak
4v7DCN09hgXkKazefkznDQ,Lonely,Akon,Trouble Deluxe Edition,79,235800,2005-01-01,Sad,lonely
3lps4zaeCHh5EXWhhsE8Y0,Lonely Lonely (I Guess I'm Lonely),unshackled,Lonely Lonely (I Guess I'm Lonely),60,136615,2025-08-06,Sad,lonely
0koCvqji2k9Me2QJSjCzds,Lonely,Himesh Reshammiya,Khiladi 786,56,248868,2012-10-30,Sad,lonely
3S8jK1mGzQi24ilFb45DAZ,Lonely (with benny blanco),Justin Bieber,Justice,70,149189,2021-03-19,Sad,lonely
5pS5TjcUKb8rWQSqgZ2MSm,Ева,Vintage,Sex,69,248760,2009-10-14,Sad,lonely
3Rfre3qkrhwdZZ7dyznwbN,Lonely Road (with Jelly Roll),mgk,Lonely Road (with Jelly Roll),74,189356,2024-07-26,Sad,lonely
12Jv43ckraLHZajir19Sbe,Lonely (Remix By Kiran Kamath),Himesh Reshammiya,Khiladi 786,39,242255,2012-10-30,Sad,lonely
1ZRs3ERmF5uOQapFWru1ZH,Lonely Lie,Revaansh Kohli,Lonely Lie,38,159589,2025-09-05,Sad,lonely
6k9wDkhrukE43JNlJOLL2E,Lonely,Akon,Sunset Vibes,51,235266,2021-10-08,Sad,lonely
7wxNJrnVGj6k3ei8lxEM1e,Lonely,Bibash Jk,Lonely,35,149466,2022-03-14,Sad,lonely
2wAJTrFhCnQyNSD3oUgTZO,Work Out,J. Cole,Cole World: The Sideline Story,80,235320,2011-09-27,Energetic,workout
0kmEIbbAujegNwYpR0Was0,"Beast Mode (From ""Beast"")",Anirudh Ravichander,"Beast Mode (From ""Beast"")",52,220350,2022-04-20,Energetic,workout
6XzS2jm9kpl74sqhh7nnQ0,Ultimate Workout Anthem Non-Stop Mashup,Sachet Tandon,Ultimate Workout Anthem Non-Stop Mashup,17,2356166,2024-09-06,Energetic,workout
3n1IbkZGIxwP27kiE3TKtP,Get Ready To Fight,Benny Dayal,Get Ready To Fight,57,204741,2016-04-22,Energetic,workout
1FvJQWq1hjwHLpM10qlEXx,Ude Dil Befikre - Workout Remix,Benny Dayal,Ude Dil Befikre - Workout Remix,23,200610,2022-03-07,Energetic,workout
1aQ58u4guUf999iQX3J2HF,"Beast Mode (From ""Beast"")",Anirudh Ravichander,"Beast Mode (From ""Beast"")",59,220350,2022-04-08,Energetic,workout
4dffVlSKpQhLqYQ7BFSHFo,Punjabi Workout Mashup Vol-2,Sidhu Moose Wala,Punjabi Workout Mashup Vol-2,24,202582,2021-07-26,Energetic,workout
3cWSJgtbzA6tjfb5Cm868V,"Beast Mode (From ""Beast"")",Anirudh Ravichander,Ultimate Mass Songs - Anirudh Ravichander,47,220350,2025-09-19,Energetic,workout
0Ov71yacCGsGhHbFXwhKTo,Pre Workout,Jordan Sandhu,ALPHA,55,156887,2024-10-10,Energetic,workout
0relNMArnXXkJx63Rv4rXZ,Workout,JSL,Workout,13,207816,2015-04-05,Energetic,workout
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,Torches,84,239600,2011-05-23,Energetic,pump
2ygMBIctKIAfbEBcT9065L,Pump It,Black Eyed Peas,Monkey Business,81,213066,2005-01-01,Energetic,pump
1O1E1lbobekZp3PHVqDAMl,Pump Up,Gur Sidhu,Longway,60,150676,2025-07-23,Energetic,pump
6GwdfiUA3p0zyXpP7LelL5,Pumpfake,Sadfriendd,Pumpfake,59,93330,2024-11-07,Energetic,pump
4AXWFpII9a4C9rCPMQxBoR,Pump Dekh,Fotty Seven,Jai Veeru,39,157959,2024-07-05,Energetic,pump
6e2OwnkapOwUDfhz6AP9iC,Pump It Up,Endor,Pump It Up,70,150635,2019-09-13,Energetic,pump
21qnJAMtzC6S5SESuqQLEK,Pump Up The Jam,Technotronic,Pump Up The Jam,72,320306,1989-11-28,Energetic,pump
4HuUT7rzOHjN6ReLKDpoc5,Pump It Up,Vishal Dadlani,Chance Pe Dance,23,286586,2009-12-14,Energetic,pump
1IZDDJGr5ZMFSk9rigVP9d,Piywa Pump Maro Hai,Raushan Rohi,Piywa Pump Maro Hai,43,237679,2023-07-01,Energetic,pump
7KJsvfN8D5mvvElv4tVtqZ,Zero,The Smashing Pumpkins,Zero,16,165590,1996-01-01,Energetic,pump
2RmZT2FDG2SJL31emAqdz1,Soch (feat. Karan Aujla),Intense,124,57,223500,2016-08-13,Energetic,intense
1tzMa1ma7O05lIgr4XKia8,angels,HRJXT,Twenty Two,53,204545,2022-02-22,Energetic,intense
29IiZeoOp398AL7minYgUM,Ruthless,Intense,Ruthless,47,182265,2025-06-25,Energetic,intense
3UhmuWcFaLS3AO3kI9ynQ2,Insane,AP Dhillon,Insane,68,206060,2021-04-16,Energetic,intense
3eIdE2PTzeZ3FCODXmsfF9,Sahiba,Intense,Midnight,55,238707,2019-11-23,Energetic,intense
0OyZVKRnD4spEk5V20rbQ7,Jatta,Intense,Exhale,47,307838,2018-12-20,Energetic,intense
2oenSXLDbWVaaL7QjSGYj5,Lalkara,Diljit Dosanjh,Ghost,70,160500,2023-09-29,Energetic,intense
29m79w9xPMH4YCD6r8JSmV,Excuses,AP Dhillon,Excuses,73,176232,2020-07-24,Energetic,intense
79izTfIMSynG9BkQfbYlXh,Ban,Diljit Dosanjh,AURA,65,172826,2025-10-15,Energetic,intense
5fXslGZPI5Cco6PKHzlSL3,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",65,188606,2020-01-04,Energetic,intense
4ipcv9eHC6w5xKXxX0Z1Zu,"Powerhouse (From ""Coolie"") (Tamil)",Anirudh Ravichander,"Powerhouse (From ""Coolie"") (Tamil)",73,206627,2025-07-22,Energetic,power
0lUSd7TCG8srh6HpIAEIWL,Power,Little Mix,Glory Days (Expanded Edition),70,247840,2016-11-18,Energetic,power
2gZUPNdnz5Y45eiGxpHGSc,POWER,Kanye West,My Beautiful Dark Twisted Fantasy,78,292093,2010-11-22,Energetic,power
2GZGOcnrbeJVtaPBOat0Vo,Power,Sidhu Moose Wala,Moosetape,46,228000,2021-05-17,Energetic,power
6SSnh9P1xYHjTfbVBMmsTv,Powerhouse x Disco,Anirudh Ravichander,Coolie (Original Background Score),65,85917,2025-09-10,Energetic,power
3vFhiyEM5lohM617tKuyGr,Power Moves,Yo Yo Honey Singh,51 GLORIOUS DAYS,50,183149,2025-09-26,Energetic,power
3pDbPKZHrpHAWcJVMsrNwA,"Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")",Anirudh Ravichander,"Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")",63,207647,2023-07-17,Energetic,power
1TuAiGYL1nJvTfGaHNEX40,"Bus Fight x Powerhouse x Disco (From ""Coolie BGM"")",Anirudh Ravichander,"Bus Fight X Powerhouse X Disco (From ""Coolie BGM"")",67,177514,2025-09-15,Energetic,power
60aE4HwrbT6dbYey9aalAe,People Have The Power - Official Audio,Patti Smith,People Have The Power (Official Audio),12,305578,1988,Energetic,power
3JC5Xx48KqzYYlbTr6weCv,Powerhouse,Anirudh Ravichander,Coolie (Original Motion Picture Soundtrack),69,206627,2025-08-02,Energetic,power
5qGizZYD1lbhGFdTR1yoFv,Motivated,NF,Mansion,49,261200,2015-03-31,Energetic,motivated
0bEGXuQwXNF61JDXP47h9i,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Shashwat Sachdev,"O Shera - Teer Te Taj (Film Version) [From ""Kesari Chapter 2""]",58,152624,2025-04-12,Energetic,motivated
3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh,"Kar Har Maidaan Fateh (From ""Sanju"")",60,312157,2018-06-10,Energetic,motivated
32VAw8DL9ixX5XSW2VLcZ4,Aam Jahe Munde,Parmish Verma,Aam Jahe Munde,67,207838,2020-05-02,Energetic,motivated
17FuWDOG0ROvc3U7Rw1FLY,Ice Cream Woman,White Panda,Ice Cream Woman,48,196101,2022-05-21,Energetic,motivated
7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),64,211120,2013-06-14,Energetic,motivated
4SE4yewyGpOYfxfx59Yjc5,Cinderella Man,Eminem,Recovery,67,279013,2010-06-18,Energetic,motivated
4yPynbuLyYXJ0vfi3Kj4lf,Manasha,Ashreveal,Manasha,65,115802,2024-11-08,Energetic,motivated
0ounZtmfPNo6iWLmtat2fl,Positivity,Jordan Sandhu,Positivity,47,170714,2023-05-09,Energetic,motivated
6cUM4yawhVYPXArGp6eWJe,Bhaag Milkha Bhaag,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),54,269840,2013-06-14,Energetic,motivated
6a6EVcOcZVNBQUdXFguMMK,Relaxing Music For Study (3AM Study Time),Dopamind,Relaxing Music For Study (3AM Study Time),33,154999,2023-04-28,Calm,relaxing
3SmShRrEHntp1w8JgQVTL3,Lord Krishna Flute Music - Relaxing Music,Subhash Jena,Lord Krishna Flute Music - Relaxing Music,42,3605356,2002-01-01,Calm,relaxing
6v8mSl4GZXok3Ebe9x4Jmr,Mood - Lofi,Yagih Mael,Mood (Lofi),64,162664,2021-11-10,Calm,relaxing
01Pm7DyFo2KCgkKRqZzFoc,The Relaxing Study Tune,Study – Deep Focus,Concentration Music,40,118153,2022-01-26,Calm,relaxing
62mFjcWGkt2OY9LT9EvxS2,1 Hour of Soft Rain to Reduce Stress,Calming Rain,1 Hour of Soft Rain to Reduce Stress,48,3609100,2019-05-10,Calm,relaxing
1gwLjpvAbu6IVmVdAfPJ0G,Relaxing Brown Noise 256 Hz Smooth Q,Jane Color,Relaxing Brown Noise 256 Hz,70,179470,2022-07-15,Calm,relaxing
0kbBGodkSvTkiwSFMYgRNE,Soothing Relaxation,Peder B. Helland,Soothing Relaxation,66,365231,2017-05-19,Calm,relaxing
175RURvceh0q9AWID8O0jF,Headache & Migraine Relief Relaxing Music,Vastu Meditation,Headache & Migraine Relief Relaxing Music,22,634176,2021-12-04,Calm,relaxing
7ttlemwytO21npSmLKqTBg,Aashiyan,Pritam,Barfi! (Original Motion Picture Soundtrack),56,236373,2012-06-24,Calm,relaxing
2sCkuw5uBbWqU4qQGGvE1z,Relaxing Lo-fi Tunes,Lowfly,Relaxing Lo-fi Tunes,23,185500,2024-11-08,Calm,relaxing
4T317D8kCVdPbqmsUdDA89,Peaceful Skies,Soothing Oasis,As Dusk Falls,59,134489,2024-10-22,Calm,peaceful
05rZjt6QFqHY3gdQXNFOrf,Peaceful Krishna Flute Music,Khushi Bees,Peaceful Krishna Flute Music,33,165381,2023-10-12,Calm,peaceful
40h65HAR8COEoqkMwUUQHu,Peaceful Easy Feeling - 2013 Remaster,Eagles,Eagles (2013 Remaster),69,257962,1972-06-01,Calm,peaceful
1v1oIWf2Xgh54kIWuKsDf6,Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),77,248826,2016-03-11,Calm,peaceful
7ugRZ01huESY0IdSWLgMW4,Peaceful Community Theme,VUA,Peaceful Community Theme,6,70638,2025-01-09,Calm,peaceful
18UjBDG1TiLotPs98x4zsf,Peaceful Passage,Soothing Oasis,Earth at Rest,59,124087,2024-10-22,Calm,peaceful
6NAvtppjAa8bYt3NKO85T5,Peaceful Nights,Calmly,Peaceful Nights,67,132000,2024-06-07,Calm,peaceful
4hhwyBxns9O6XIDQzL7bvF,Peaceful Sleep,Lullaby Time,Baby Sleep Music,75,135341,2020-06-19,Calm,peaceful
7JOFplrLQfYkuEcWCASZDo,Iktara - Lofi Flip,VIBIE,Iktara (Lofi Flip),59,173973,2021-07-09,Calm,peaceful
4QnsbXf30NFJifgVxb81Sy,Peaceful Morning Krishna's Flute,krishna's flute,Peaceful Morning Krishna's Flute,29,505244,2025-04-12,Calm,peaceful
7FrvAIKa4V5Vr9kbhMrv3y,15 Minutes Om Meditation,Naren,15 Minutes Om Meditation,37,1022883,2020-04-27,Calm,meditation
4GyOg0iHTbEik4LCZu6RQz,OM Meditation Music Relax Your Mind Body,Medi Tuner,OM Meditation Music Relax Your Mind Body,39,352327,2022-08-25,Calm,meditation
74OnNzQEy5KrRCSztE6jqq,OM Chanting at 432Hz,Meditative Mind,OM Chanting at 432Hz,51,1788833,2015-09-03,Calm,meditation
6NyCrdoI2ZwSSlblmn1qGl,10 Minute Healing Sound Meditation Music,Meditation Music,10 Minute Healing Sound Meditation Music,13,622889,2025-04-14,Calm,meditation
4XOmIkNOkZn9aDgPukPAfl,10 Minute Meditation Music,Sahas Shakya,10 Minute Meditation Music,29,617142,2021-04-30,Calm,meditation
1w5pCCdzoLkAHghsPiJh3f,OM Chants 108 Times By Brahmins,Chorus,OM Chants 108 Times By Brahmins,45,1841821,2020-10-01,Calm,meditation
0nG3hiDlJGaKyuTkMnofqY,Meditation (Arr. M.P. Marsick),Jules Massenet,Fireplace Relaxing,8,319120,2025-10-28,Calm,meditation
70UnKRYZDYqY96roiCOhQE,Shiva Dhyana Mantra for Inner Peace and Meditation,Mahakatha,"Ancient Chants from India, Vol. 10",53,310871,2023-04-27,Calm,meditation
5GENbHgA0L075CDGlQJLXH,Om Chanting For Meditation,Chorus,Morning Bhajans & Chants,28,184833,2020-01-31,Calm,meditation
2QsieuI3d9ECqYd0VO5OVd,"krishna Flute Relaxing music for Positive Energy |Meditation Flute|Flute,yoga,healing 159",DeviAnagha,"krishna Flute Relaxing music for Positive Energy |Meditation Flute|Flute,yoga,healing 159",29,4159422,2022-02-14,Calm,meditation
0VvXKMWs7mCONrpeKIHFjz,Chillgum,Yo Yo Honey Singh,51 GLORIOUS DAYS,59,184114,2025-09-26,Calm,chill
3EPxiSj3RsjMMdKCM7pthV,Chillax,Vijay Antony,Velayudham (Original Motion Picture Soundtrack),60,265853,2011-08-29,Calm,chill
3jixbQHg5vDuZRNqzordcI,"Chillanjirukkiye (From ""Lubber Pandhu"")",Sean Roldan,"Chillanjirukkiye (From ""Lubber Pandhu"")",66,247448,2023-11-10,Calm,chill
6aACwXDIHQXIP097DT8WfE,Chillena,G. V. Prakash,Raja Rani (Original Motion Picture Soundtrack),57,312360,2013-08-23,Calm,chill
3LIlcKgY8fG0rDGoPJUZnq,Chilluraanthal,Gopi Sundar,Kali (Original Motion Picture Soundtrack),47,303594,2016-03-12,Calm,chill
7nzW9nIgTuxhteZk9dQf8e,"Chilla Chilla - From ""Thunivu""",Ghibran,"Chilla Chilla (From ""Thunivu"")",48,222222,2022-12-09,Calm,chill
0yMdhWfcw3jrONEznclZzn,Chill Bro,Vivek - Mervin,Local Boy,44,239545,2020-02-06,Calm,chill
