id,name,artist,album,popularity,duration_ms,release_date,mood,language,search_query
4W4HPkpruB9XiUu11Qoo8H,Joy and Happiness,Audiosphere,"Happy Kids Music: Sweet, Uplifting, Playful Instrumental Background Music",21,141639,2021-09-09,Happy,English,joyful music
46ydq5g3k17iLJs3qMDvO6,Hurts So Good,Astrid S,Astrid S,68,208728,2016-05-20,Sad,English,sad english
057YRaQ57p70MVg4hMIIkB,Камин (feat. JONY),EMIN,Камин (feat. JONY),78,187619,2020-03-27,Sad,English,sad english
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,Narrated For You,81,169353,2018-11-16,Sad,English,sad english
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,Safe Haven,85,233720,2017-05-05,Sad,English,sad english
4qULsv8t3CLDbHHU4cimpU,Goodbye My Baby,Jace June,Goodbye My Baby,62,194000,2023-10-27,Sad,English,sad english
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,dont smile at me,82,200379,2017-12-22,Sad,English,sad english
72VBmMUTEVWFcDUVgMbqo0,Atlantis - Sped Up Version,Seafret,Atlantis,62,212443,2016-01-29,Sad,English,sad english
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost,76,197732,2019-06-28,Sad,English,sad english
2QfznFotJNZmnIEYFdzE5T,Heartbreak Anniversary,GIVĒON,Heartbreak Anniversary,70,196794,2020-02-21,Sad,English,heartbreak songs
4U1Hs93onzmoREGlaTAUXO,"HeartBeat Paattu (From ""HeartBeat"")",Madley Blues,"HeartBeat Paattu (From ""HeartBeat"")",17,61158,2024-02-02,Sad,English,heartbreak songs
79OpcqzQvmqmy92saiWA4R,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",Arijit Singh,Bollywood Heartbreak Songs,40,278401,2019-02-12,Sad,English,heartbreak songs
43YkTTlOD203o9E5ZxhUjF,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",Arijit Singh,Arijit Singh Broken Strings,67,262986,2019-04-24,Sad,English,heartbreak songs
5FihcmME7NlwW8KbYOaHVH,The Breakup Song,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],64,252631,2016-10-26,Sad,English,heartbreak songs
5r0ZVUKEmqqo0bfW8p9wK7,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",Atif Aslam,Bollywood Heartbreak Songs,41,256271,2019-02-12,Sad,English,heartbreak songs
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,GIVĒON,TAKE TIME,78,198370,2020-03-27,Sad,English,heartbreak songs
24b9eObMccIrDSs3NvdrRd,"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")",Arijit Singh,Arijit Singh Broken Strings,65,295798,2019-04-24,Sad,English,heartbreak songs
225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,Armageddon - The Album,74,298760,1998-06-23,Sad,English,emotional ballad
7FtRUrOEDUHTvenvp1BqZo,Catch The Rainbow,Rainbow,Ritchie Blackmore's Rainbow,56,396466,1975-01-01,Sad,English,emotional ballad
4C8qZRxrteBY9F8r2oZrV3,You're All I Need,White Lion,Mane Attraction,62,265160,1991-03-26,Sad,English,emotional ballad
3THqU6OPi09WBYeP8hucTG,Emotional Fool,Shaarib Toshi,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),30,216103,2014-06-19,Sad,English,emotional ballad
4t1fWWJQs5V9YErfsrDslC,Cryin',Aerosmith,Get A Grip,72,308560,1993-01-01,Sad,English,emotional ballad
2KTue315fJuqwEq5ooum0R,Emotion Of Flute,Subham jossi,Emotion Of Flute,19,90812,2023-05-05,Sad,English,emotional ballad
1rXDB323N0j4OXQyz9NiYF,Ballads at Sunset - Piano Version,Alej,Ballads at Sunset (Piano Version),55,104000,2023-10-13,Sad,English,emotional ballad
12PaIk7YwXcdXNlCimDGyv,Emotional Ending (Vocals Only),Vocal Tunez,Vocals Only Mix,34,189295,2023-10-26,Sad,English,emotional ballad
0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,Plastic Beach,84,233866,2010-03-03,Sad,English,melancholy
0ZRTBsgVroKktG2qJoIzoo,Late Night Melancholy,Rude Boy,Late Night Melancholy,52,258639,2020-06-11,Sad,English,melancholy
7FtaJPZsSQxED0jKkSn2se,Melancholy,Xvir Grewal,Melancholy,17,159130,2023-03-20,Sad,English,melancholy
1fcXn2WjZlTcuy228dUPVJ,Melancholy,Gustixa,The Fellings I Couldn't Tell,48,184296,2021-12-06,Sad,English,melancholy
3DFhB4Sdjin9tPxPYf11Fh,Melancholy,White Cherry,Melancholy,40,128287,2018-04-02,Sad,English,melancholy
3gl0lmo53rhEQRP4CN7zqq,Melancholy,Sabbir H. Howlader,Melancholy,11,41424,2024-05-13,Sad,English,melancholy
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd,"My Dear Melancholy,",83,241066,2018-03-30,Sad,English,melancholy
2BSEdd66Ztu7kJ2AZWFwZC,Melancholy of Love,Ilaiyaraaja,A Beautiful Breakup (Original Background Score),14,227985,2025-08-28,Sad,English,melancholy
3HrDQPzRM6Qj8jO6q9O9nc,Workout Music,Motivational Music,EDM Drops for Gym Legends,25,166836,2025-04-25,Energetic,English,workout music
06drJNxO4ykgYr75jvSXx3,Exercising Music,Workout Prodigy,"Exercising Music – The Best Music for Exercising, New Gym Motivation Playlist",8,205714,2020-07-29,Energetic,English,workout music
73C0hkGncJ7eWKCk07ReyI,Beast Workout Music,Workout Prodigy,"Beast Mode Workout: Top 12 Workout Songs 2021 Beast Mode On, Beast Workout Music",2,138000,2021-05-18,Energetic,English,workout music
1Y8WjEadyuHy9b6FaE9qt2,Gym Music,Workout Music,Fitness Music,13,104598,2023-07-28,Energetic,English,workout music
0oYRzYmmSt0EkxN9Xvg6B8,Work Out Music - Instrumental,Beats by Talent,Work Out Music,17,139784,2022-10-05,Energetic,English,workout music
44mGhplvTxr9Py9o2OPaav,Gym Motivation,Best Workout Music,Gym Motivation,22,153333,2022-11-05,Energetic,English,workout music
0Ov71yacCGsGhHbFXwhKTo,Pre Workout,Jordan Sandhu,ALPHA,55,156887,2024-10-10,Energetic,English,workout music
2cAtlBu2HOoAJS4Rz1ajov,Workout With Sumit Parta Mashup,Sumit Parta,Workout With Sumit Parta Mashup,32,300631,2025-07-01,Energetic,English,workout music
1O1E1lbobekZp3PHVqDAMl,Pump Up,Gur Sidhu,Longway,60,150676,2025-07-23,Energetic,English,pump up
21qnJAMtzC6S5SESuqQLEK,Pump Up The Jam,Technotronic,Pump Up The Jam,72,320306,1989-11-28,Energetic,English,pump up
6e2OwnkapOwUDfhz6AP9iC,Pump It Up,Endor,Pump It Up,70,150635,2019-09-13,Energetic,English,pump up
4tBMbRwLJa5BjwJ6FrBlks,Soni De Nakhre,Wajid,Partner,69,261013,2007-06-12,Energetic,English,pump up
2ygMBIctKIAfbEBcT9065L,Pump It,Black Eyed Peas,Monkey Business,81,213066,2005-01-01,Energetic,English,pump up
0lu0MNaneFAc0jx5THg5wu,Iceman,Gur Sidhu,Longway,59,140740,2025-07-23,Energetic,English,pump up
4HuUT7rzOHjN6ReLKDpoc5,Pump It Up,Vishal Dadlani,Chance Pe Dance,23,286586,2009-12-14,Energetic,English,pump up
473mgckOpDRjJ2lGkIKwFf,Gal Notan Di,K.S Makhan,Pump Up,55,149318,2025-03-06,Energetic,English,pump up
7AYAL2ojFkYUuKOvTeUAO0,Intense Music,GreenRocketAudio,Workout Music,14,133537,2021-04-27,Energetic,English,intense rock
7Alek5cFSPVFpa3tZ3odMq,INTENSE CARESS,KAMIJO,VIOLET DAWN,14,285773,2024-07-31,Energetic,English,intense rock
4g8GRnK2xrtEZ30viUzGVZ,"Sen no Tsubasa (From ""Re:_Hamatora"")",FalKKonE,"Intense Symphonic Metal Covers, Vol. 20",30,223014,2019-11-05,Energetic,English,intense rock
2I7AQiijIRQAMIhWj0vOm7,The Intense Humming of Evil,Manic Street Preachers,THE HOLY BIBLE,9,371106,1994-08-29,Energetic,English,intense rock
2RmZT2FDG2SJL31emAqdz1,Soch (feat. Karan Aujla),Intense,124,57,223500,2016-08-13,Energetic,English,intense rock
32qnBgfzURbwNayQIEB5W5,"Badass (From ""Leo"")",Anirudh Ravichander,"Badass (From ""Leo"")",63,229677,2023-09-28,Energetic,English,intense rock
2QkUgk0UgTYBViwZKN0l3H,Famous,Sidhu Moose Wala,Famous,59,249782,2018-06-16,Energetic,English,intense rock
0OyZVKRnD4spEk5V20rbQ7,Jatta,Intense,Exhale,47,307838,2018-12-20,Energetic,English,intense rock
4gQgktaD03UEfubHgWBuRO,Power Anthem,Simu Dhillon,Power Anthem,16,167741,2025-04-01,Energetic,English,power anthem
26JZycCkF50sGyOG344TtL,Power Anthem,Ginda Nauliala7172,Power Anthem,2,139389,2025-08-06,Energetic,English,power anthem
04tCClQ9aUusZWkGI67kmp,Mahadev Power Anthem Rap,Vipin Soni,Mahadev Power Anthem Rap,10,178728,2025-02-10,Energetic,English,power anthem
4ipcv9eHC6w5xKXxX0Z1Zu,"Powerhouse (From ""Coolie"") (Tamil)",Anirudh Ravichander,"Powerhouse (From ""Coolie"") (Tamil)",73,206627,2025-07-22,Energetic,English,power anthem
0Bwq1DvIe3YSN2nVQ1n5Am,Power of the Tribe (Defqon.1 2024 Anthem),Sound Rush,Power of the Tribe (Defqon.1 2024 Anthem),43,325494,2024-03-28,Energetic,English,power anthem
3Hm8hD195kNn3FujGljVEW,Champion's Anthem,Karan Aujla,Making Memories,65,204500,2023-08-18,Energetic,English,power anthem
1TuAiGYL1nJvTfGaHNEX40,"Bus Fight x Powerhouse x Disco (From ""Coolie BGM"")",Anirudh Ravichander,"Bus Fight X Powerhouse X Disco (From ""Coolie BGM"")",67,177514,2025-09-15,Energetic,English,power anthem
6SSnh9P1xYHjTfbVBMmsTv,Powerhouse x Disco,Anirudh Ravichander,Coolie (Original Background Score),65,85917,2025-09-10,Energetic,English,power anthem
6a6EVcOcZVNBQUdXFguMMK,Relaxing Music For Study (3AM Study Time),Dopamind,Relaxing Music For Study (3AM Study Time),33,154999,2023-04-28,Calm,English,relaxing music
3SmShRrEHntp1w8JgQVTL3,Lord Krishna Flute Music - Relaxing Music,Subhash Jena,Lord Krishna Flute Music - Relaxing Music,42,3605356,2002-01-01,Calm,English,relaxing music
6v8mSl4GZXok3Ebe9x4Jmr,Mood - Lofi,Yagih Mael,Mood (Lofi),64,162664,2021-11-10,Calm,English,relaxing music
0kbBGodkSvTkiwSFMYgRNE,Soothing Relaxation,Peder B. Helland,Soothing Relaxation,66,365231,2017-05-19,Calm,English,relaxing music
175RURvceh0q9AWID8O0jF,Headache & Migraine Relief Relaxing Music,Vastu Meditation,Headache & Migraine Relief Relaxing Music,22,634176,2021-12-04,Calm,English,relaxing music
3W4UJM65swZgLifMu7DxPf,Dil Tu Jaan Tu (Female Version),Arunima Sharma,Dil Tu Jaan Tu (Female Version),52,208000,2025-01-16,Calm,English,relaxing music
08hE5kIOOIXwNaEfRsOo7x,Krishna Flute,Harsh saklani,Krishna Flute,39,139575,2023-10-03,Calm,English,relaxing music
4GyOg0iHTbEik4LCZu6RQz,OM Meditation Music Relax Your Mind Body,Medi Tuner,OM Meditation Music Relax Your Mind Body,39,352327,2022-08-25,Calm,English,relaxing music
6d5gomCKkm2QYMZh2zA39n,Peaceful Rain,chill phil,Rain & Thunder - Ambient Music,61,160000,2020-02-21,Calm,English,peaceful ambient
7DyF6UY3xiVmoLncNaCAtg,Peaceful Morning,Warmth of Muba,Peaceful Morning,58,161785,2025-08-01,Calm,English,peaceful ambient
6BxlHqMsTv9CMeaEMYi0eu,Soothing Ambient Music With Soft Atmospheric Layers For Stress Relief And Inner Peace,Massage Tribe,Soothing Ambient Music With Soft Atmospheric Layers For Stress Relief And Inner Peace,0,1261727,2025-11-05,Calm,English,peaceful ambient
0gF1Avb6FP3MMFaKiblmvX,Ambient River Sounds,The Slumbering One,Peaceful Slumber,52,124000,2023-05-16,Calm,English,peaceful ambient
7Eg7ekIj1XI5nknQN9ZGRv,Ambient River,The Slumbering One,Peaceful Slumber,50,127000,2023-05-16,Calm,English,peaceful ambient
0HT3vWtf3U14MuUnR06Nk6,Ambient Study Music,Study Music Project,Study Music Playlist for Deep Focus,33,72217,2023-12-21,Calm,English,peaceful ambient
5laReI5Ghn9pTzBDSMV75S,Ambient Serenity,Pure Healing Waves,Inner Oasis Calming Meditation and Sleep Music,0,52313,2025-11-01,Calm,English,peaceful ambient
69pQIBBVLEDaEOdlGqJcyL,Ambient Reverie,Rangitoto,Ambient Reverie,45,123870,2023-12-01,Calm,English,peaceful ambient
7FrvAIKa4V5Vr9kbhMrv3y,15 Minutes Om Meditation,Naren,15 Minutes Om Meditation,37,1022883,2020-04-27,Calm,English,meditation
74OnNzQEy5KrRCSztE6jqq,OM Chanting at 432Hz,Meditative Mind,OM Chanting at 432Hz,51,1788833,2015-09-03,Calm,English,meditation
6NyCrdoI2ZwSSlblmn1qGl,10 Minute Healing Sound Meditation Music,Meditation Music,10 Minute Healing Sound Meditation Music,13,622889,2025-04-14,Calm,English,meditation
1w5pCCdzoLkAHghsPiJh3f,OM Chants 108 Times By Brahmins,Chorus,OM Chants 108 Times By Brahmins,45,1841821,2020-10-01,Calm,English,meditation
0nG3hiDlJGaKyuTkMnofqY,Meditation (Arr. M.P. Marsick),Jules Massenet,Fireplace Relaxing,8,319120,2025-10-28,Calm,English,meditation
70UnKRYZDYqY96roiCOhQE,Shiva Dhyana Mantra for Inner Peace and Meditation,Mahakatha,"Ancient Chants from India, Vol. 10",53,310871,2023-04-27,Calm,English,meditation
5GENbHgA0L075CDGlQJLXH,Om Chanting For Meditation,Chorus,Morning Bhajans & Chants,28,184833,2020-01-31,Calm,English,meditation
58HT7z1hc2dznNN7kwePQc,Dekha Ek Khwab - Chill Lofi Mix,VDJ Fly,Dekha Ek Khwab - Chill Lofi Mix,37,158350,2024-08-16,Calm,English,chill lofi
69fPzUP8NKGBnhiljq0uCM,Chill Lofi Beat,Mandeep Chakatu,Chill Lofi Beat,1,240000,2025-04-07,Calm,English,chill lofi
7xIPsXmUBhtcv8Txt3X1r2,3 Hour Study Focus Music,SPIRIT ENERGY VIBE,3 Hour Study Focus Music,40,10799960,2022-09-06,Calm,English,chill lofi
2ONQEjSlhwnXZq1XxW7Qfy,Ek Ladki Ko Dekha Chill LoFi,Rochak Kohli,Ek Ladki Ko Dekha Chill LoFi,36,130129,2023-01-16,Calm,English,chill lofi
2onEPXhpH4NWqkcEb0sGfd,Hare Rama Hare Krishna - Soft Chill Lofi Version,Rvj,Hare Rama Hare Krishna (Soft Chill Lofi Version),35,310718,2022-11-27,Calm,English,chill lofi
5dfxJ3XFfvwHZS5zEwz1z2,Study Chill Vibes,Lowfly,Study Chill Vibes,29,144312,2024-11-22,Calm,English,chill lofi
1DDC9ph0wFlrdJF1DLG8q8,Study Lofi Ambiance,Lowfly,Study Lofi Ambiance,34,168500,2024-12-13,Calm,English,chill lofi
2sCkuw5uBbWqU4qQGGvE1z,Relaxing Lo-fi Tunes,Lowfly,Relaxing Lo-fi Tunes,23,185500,2024-11-08,Calm,English,chill lofi
14mT8BCOXiUUcGlb7KujkT,I Think They Call This Love - Cover,Matthew Ifield,I’ll Be Home For Christmas / I Think They Call This Love (Cover),69,196253,2024-11-28,Romantic,English,romantic english
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,Until I Found You,78,177720,2021-09-01,Romantic,English,romantic english
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,91,183956,2013-09-09,Romantic,English,romantic english
3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium (Deluxe),77,252534,2015-11-06,Romantic,English,romantic english
2GVvI0L4ejlrUH7HHwYiBU,Gold,Tolan Shaw,Singer Songwriter: Indie Pop (Deluxe Version),50,185071,2021-08-27,Romantic,English,romantic english
3hB9lDLyAClYVZivMMl20N,Co2,Prateek Kuhad,The Way That Lovers Do,70,163653,2022-05-20,Romantic,English,romantic english
48DDffGPbiH06yF4a80CNM,You're My #1 (with Enrique Iglesias),Alsou,Alsou,34,279653,2001-06-18,Romantic,English,romantic english
7lmA1o8uYFGWgkufbl4MBI,The Colors of You,Auric Veil,The Colors of You,26,211559,2024-12-28,Romantic,English,romantic english
6qL5UWxRSQYml9O99ozoLv,Love Songs - Bonus,Kaash Paige,Parked Car Convos,81,148640,2019-11-15,Romantic,English,love songs
5bQ6oDLqvw8tywmnSmwEyL,Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),78,261702,2022-11-22,Romantic,English,love songs
5thVzD79BxlDTYy0LfHzvu,Zaroor,Aparshakti Khurana,Zaroor,73,175448,2024-05-28,Romantic,English,love songs
1YMLgvsQdE27r30q0fsLeV,Tera Fitoor,Arijit Singh,Genius (Original Motion Picture Soundtrack),74,310000,2018-08-24,Romantic,English,love songs
3oWxFNsXstcancCR1wODR4,Tera Ban Jaunga,Akhil Sachdeva,Kabir Singh,69,236436,2019-06-14,Romantic,English,love songs
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")",Arijit Singh,"Satranga (From ""ANIMAL"")",77,271169,2023-10-27,Romantic,English,love songs
1QZRCi2Z1DQQaR6bGAzhtN,Love Dose,Yo Yo Honey Singh,Desi Kalakaar,73,224444,2014-09-26,Romantic,English,love songs
1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),77,261702,2022-12-06,Romantic,English,love songs
7vAZNe0NhP5GXxW03I2HQV,Passionate Pilgrim Ballad,Andrei Krylov,Tales of Magic Forest,11,142921,2025-10-26,Romantic,English,passionate ballad
6IC2KjyGeO0LNt6l2Uug2m,Ballad of Andalusia,Spanish Guitar Lounge Music,"Passionate Spanish Serenade: Flamenco Guitar Melodies, Romantic Ballads, Cafe Tunes",5,192418,2024-03-01,Romantic,English,passionate ballad
0GIM1JxnuqLv1moRDDlk6r,Waltz Ballad - Passionate Version,MaSssuguMusic,Waltz With Me 3,11,119903,2025-02-18,Romantic,English,passionate ballad
1J8gcL1tvDxLOP2uMA1923,Enchanting Flamenco Ballad,Spanish Guitar!,"Passionate Spanish Serenade: Flamenco Guitar Melodies, Romantic Ballads, Cafe Tunes",3,171162,2024-03-01,Romantic,English,passionate ballad
2TNMFocCYO7CWSRBngA8Rg,Passionate Nights,TUNE UNIVERSE,Lunar Lullaby,17,46210,2024-04-13,Romantic,English,passionate ballad
1DsZwSGRFo1geXc0yIY7V5,Passionate,Dowyfl,Tearful,27,61587,2015-01-22,Romantic,English,passionate ballad
6aSEZLR9w9uRjQNJ6ovCCv,Waltz Ballad (Passionate Version),MaSssuguMusic,Waltz Ballad (Passionate Version),6,119903,2025-01-30,Romantic,English,passionate ballad
2rAmSplF014Mf3ebpvPfLU,Passionate Overload - Love and Deepspace Caleb's Polar Night Memory-Themed Bgm,Love and Deepspace,Heartbeats Ablaze,56,66000,2025-10-29,Romantic,English,passionate ballad
6cx5CvFhqN19efStehJqoW,Valentine,Laufey,Everything I Know About Love,77,168906,2022-08-26,Romantic,English,valentine
1MhHomaXgrPMBroXkpWSSa,Valentine's Mashup 2019,Amrita Singh,Valentine's Mashup 2019,51,212521,2019-02-13,Romantic,English,valentine
1jkNF7kVO0tzNiGXzpC6fQ,Valentine's Mashup 2021,Arijit Singh,Valentine's Mashup 2021,45,198380,2021-02-12,Romantic,English,valentine
1ySpR66HLAKzNgMEjJy0Fx,Dil (feat. Sara Gurpal),Ninja,Dil (feat. Sara Gurpal),55,214390,2017-09-08,Romantic,English,valentine
2uMo1jUx4cnG9EudGScQul,Valentine Mashup 2023,Nikk,Valentine Mashup 2023,39,277147,2023-02-14,Romantic,English,valentine
6hGV4hkwYM4lzVdm0nzCwR,Valentine's Mashup 2025,Shilpa Rao,Valentine's Mashup 2025,22,322038,2025-02-11,Romantic,English,valentine
7p5uzwVPw0XJmtZSmrsQ8P,Love Mashup 2015 (By DJ Chetas),Shankar-Ehsaan-Loy,Love Mashup 2015 (By DJ Chetas),49,289259,2015-03-26,Romantic,English,valentine
2qPfqdbFNoyPphmlxeBDDS,Valentine Mashup 2025,DJ DALAL LONDON,Valentine Mashup 2025,34,241706,2025-02-13,Romantic,English,valentine
0bEGXuQwXNF61JDXP47h9i,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Shashwat Sachdev,"O Shera - Teer Te Taj (Film Version) [From ""Kesari Chapter 2""]",58,152624,2025-04-12,Motivated,English,motivational
6shPaz0rzOAGatiY6X6zLQ,"Ek Zindagi (From ""Angrezi Medium"")",Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",62,170088,2020-02-20,Motivated,English,motivational
2fMvD6HYXkSaP8KfskwWVk,Motivational Chant Shiva Sahaaya,Mahakatha,Ultimate Shiva Mantras,40,251999,2024-11-18,Motivated,English,motivational
3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh,"Kar Har Maidaan Fateh (From ""Sanju"")",60,312157,2018-06-10,Motivated,English,motivational
32VAw8DL9ixX5XSW2VLcZ4,Aam Jahe Munde,Parmish Verma,Aam Jahe Munde,67,207838,2020-05-02,Motivated,English,motivational
7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),64,211120,2013-06-14,Motivated,English,motivational
6l2EaynSzvc1RwPkEWGDzb,Manasha - Slowed,Ashreveal,Manasha,62,125245,2024-11-08,Motivated,English,motivational
1PZZtXR7nsNIyRcqd7UeiF,Aarambh,Piyush Mishra,Gulaal,67,295866,2009-02-27,Motivated,English,motivational
7fAoPMnIEg7IcRVQasrj6V,Inspiration,Unknown Brain,Inspiration,49,182416,2017-07-21,Motivated,English,inspirational
2qFaBzUxQ9tQGPwBS8fthV,Inspirational Love Mashup,Varun Jain,Inspirational Love Mashup,16,1521078,2024-12-14,Motivated,English,inspirational
6vvr4CZ0oa0cJhajVMMhVO,Inspiration,Fenty,Inspiration,49,195474,1950-05-24,Motivated,English,inspirational
4jCDg3KXpBRg34cLAxx4a9,Inspirational Rap Quotes Motivation,Abby Viral,Inspirational Rap Quotes Motivation,15,238167,2022-11-05,Motivated,English,inspirational
2qwn6whaZf7gax7SaqUZSC,Incredible,Future,HNDRXX,52,248049,2017-07-27,Motivated,English,inspirational
17cNU3sgFJSNIvkNBAiCJ4,Inspirational Beat,Morninglightmusic,"Awesome Songs, Vol. 1",23,132000,2016-10-28,Motivated,English,inspirational
67XJ39k65gnMALcoiKLe9r,Inspiration,Chirag Katti,Inspiration,12,416363,2020-07-11,Motivated,English,inspirational
2n4XZlG3VLpokBFKP1DuRW,Unstoppable,Hardeep Grewal,Unstoppable,29,347419,2019-07-20,Motivated,English,inspirational
